Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. zaèetka;Stac. konca;Števno mesto;Ime števnega mesta;Tip   štetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tež. tov. nad 7t;Tov. s prik.;Vlaèilci;Dnevni NOO;Tip
AC;A1;0030;MP ŠENTILJ - POÈIVALIŠÈE ŠENTILJ;0;482;674;MT Šentilj AC;QLTC8;25.877;56;19.483;102;2.697;235;131;383;2.790;2733;PLDP
AC;A1;0030;POÈIVALIŠÈE ŠENTILJ - ŠENTILJ;482;1.137;869;Šentilj AC;QLTC8;25.485;55;19.149;101;2.657;233;130;381;2.779;2721;PLDP
AC;A1;0199;PRIKLJ.ŠENTILJ S;0;842;868;Priklj. Šentilj S;QLTC8;535;2;464;1;48;3;2;3;12;14;PLDP
AC;A1;0031;ŠENTILJ  -  PESNICA;0;9.761;837;Pesnica AC;QLTC8;31.821;78;24.690;169;3.329;206;94;461;2.794;2826;PLDP
AC;A1;0065;PESNICA - DRAGUÈOVA;0;2.570;;;P;34.500;80;27.095;175;3.450;210;110;580;2.800;2937;PLDP
AC;A1;0071;DRAGUÈOVA - MB (ZRKOVSKA);0;4.452;889;Maleènik AC;QLTC8;39.119;119;26.604;213;4.706;439;239;1.003;5.796;5816;PLDP
AC;A1;0071;MB (ZRKOVSKA)  - MB (PTUJSKA);4.452;7.744;;;P;40.000;135;27.120;210;4.800;480;295;930;6.030;5975;PLDP
AC;A1;0066;MB (PTUJSKA) - ROGOZA;0;2.590;840;Ptujska AC;QLTC8;49.669;143;35.490;256;5.787;655;319;971;6.048;6118;PLDP
AC;A1;0066;ROGOZA - SLIVNICA;2.590;4.889;;;P;47.700;130;33.630;260;5.700;630;290;960;6.100;6135;PLDP
AC;A1;0034;SLIVNICA;0;1.757;;;P;51.660;126;37.954;265;5.980;705;340;960;5.330;5564;PLDP
AC;A1;0035;SLIVNICA - FRAM;0;1.910;802;Hoèe AC;QLTC8;51.661;126;37.957;265;5.982;706;342;957;5.326;5559;PLDP
AC;A1;0134;PRIKLJ. FRAM  -  MB;0;1.000;848;Priklj. Fram-MB;QLTC8;7.998;10;6.405;35;654;69;50;116;659;684;PLDP
AC;A1;0134;PRIKLJ. FRAM -  CE;1.000;1.193;849;Priklj. Fram-CE;QLTC8;3.081;5;2.106;31;427;48;25;89;350;397;PLDP
AC;A1;0036;FRAM - SL.BISTRICA-SEVER;0;6.785;2005;Polskava AC;QLTC8;46.744;121;33.658;261;5.755;685;317;930;5.017;5272;PLDP
AC;A1;0036;SL.BISTRICA - SEVER-JUG;6.785;9.733;2006;Sl.Bistrica AC;QLTC8;47.747;131;34.471;261;5.722;707;376;864;5.215;5404;PLDP
AC;A1;0135;PRIKLJ. SL. BISTRICA J. - MB;0;400;856;Priklj. Sl.Bistrica-MB;QLTC8;11.000;22;9.276;55;1.035;135;95;82;300;421;PLDP
AC;A1;0135;PRIKLJ. SL. BISTRICA J - CE;400;1.275;857;Priklj. Sl.Bistrica-CE;QLTC8;5.460;13;4.455;25;605;78;45;54;185;249;PLDP
AC;A1;0037;SL.BISTRICA - SL.KONJICE;0;9.117;838;Preloge AC;QLTC8;42.207;122;29.650;231;5.292;650;326;836;5.100;5233;PLDP
AC;A1;0136;PRIKLJ. SL. KONJICE - MB;0;900;844;Priklj. Sl.Konjice-MB;Prazno;7.500;20;6.360;50;554;191;65;70;190;325;PLDP
AC;A1;0136;PRIKLJ. SL. KONJICE - CE;900;1.510;845;Priklj. Sl.Konjice-CE;Prazno;5.933;18;5.065;45;386;195;63;81;80;242;PLDP
AC;A1;0038;SL.KONJICE - DRAMLJE;0;10.886;896;Pletovarje AC;QLTC8;40.640;120;28.261;226;5.124;654;324;847;5.084;5226;PLDP
AC;A1;0137;PRIKLJ. DRAMLJE - MB;0;600;846;Dramlje-MB;QLTC8;2.614;9;2.029;4;350;54;35;28;105;139;PLDP
AC;A1;0137;PRIKLJ. DRAMLJE - CE;600;1.048;847;Dramlje-CE;QLTC8;5.864;15;4.861;10;646;83;56;38;155;208;PLDP
AC;A1;0039;DRAMLJE - LJUBEÈNA;0;6.436;1029;Zima AC;QLTC8;43.890;126;31.093;232;5.420;683;345;857;5.134;5295;PLDP
AC;A1;0039;LJUBEÈNA - CELJE;6.436;8.438;1030;Celje Center-V AC;QLTC8;44.600;130;31.584;242;5.548;699;388;859;5.150;5336;PLDP
AC;A1;0040;CELJE - CELJE ZAHOD;0;5.261;648;Lopata AC;QLTC8;48.300;145;34.539;240;5.986;790;440;910;5.250;5502;PLDP
AC;A1;0040;CELJE ZAHOD - ARJA VAS;5.261;7.509;1031;Arja vas AC;QLTC8;53.798;163;39.472;261;6.221;891;477;947;5.366;5683;PLDP
AC;A1;0041;ARJA VAS - ŠEMPETER;0;7.511;1006;Gotovlje AC;QLTC8;49.486;167;35.711;256;5.912;747;442;891;5.360;5574;PLDP
AC;A1;0041;ŠEMPETER - ŠENTRUPERT;7.511;9.651;;;P;43.500;140;29.685;255;6.050;780;350;960;5.280;5543;PLDP
AC;A1;0042;ŠENTRUPERT - VRANSKO;0;7.898;839;Vransko AC;QLTC8;45.959;132;31.989;252;6.179;797;344;1.022;5.244;5565;PLDP
AC;A1;0043;VRANSKO - TROJANE;0;9.921;836;Jasovnik AC;QLTC8;43.343;125;30.591;252;5.325;685;312;1.200;4.853;5347;PLDP
AC;A1;0067;TROJANE  -  BLAGOVICA;0;8.706;1007;Podmilj AC;QLTC8;46.791;83;33.867;248;5.571;626;334;1.005;5.057;5342;PLDP
AC;A1;0142;PRIKLJ.BLAGOVICA - CE;0;200;842;Priklj. Blagovica-CE;Prazno;1.019;20;651;3;170;15;40;100;20;117;PLDP
AC;A1;0142;PRIKLJ. BLAGOVICA - LJ;200;520;843;Priklj. Blagovica-LJ;Prazno;2.300;77;1.566;5;219;51;18;11;353;317;PLDP
AC;A1;0044;BLAGOVICA - LUKOVICA;0;8.821;834;Kompolje AC;QLTC8;48.072;140;34.782;250;5.620;662;312;916;5.390;5542;PLDP
AC;A1;0044;LUKOVICA - KRTINA;8.821;12.457;;;P;49.341;190;35.928;258;5.650;676;352;893;5.394;5551;PLDP
AC;A1;0169;PRIKLJ. LUKOVICA ;0;2.306;831;Priklj. Lukovica-LJ;Prazno;2.650;20;2.229;5;260;30;19;33;54;89;PLDP
AC;A1;0143;PRIKLJ. KRTINA;0;340;851;Priklj. Krtina-CE;QLTC8;2.008;5;1.530;19;189;89;16;33;127;174;PLDP
AC;A1;0143;PRIKLJ. KRTINA;340;761;835;Priklj. Krtina-LJ;QLTC8;5.569;39;4.824;3;461;51;38;14;139;154;PLDP
AC;A1;0045;KRTINA - DOMŽALE;0;3.505;1045;Domžale AC;QLTC8;52.902;224;39.222;242;5.922;638;374;874;5.406;5531;PLDP
AC;A1;0046;DOMŽALE - ŠENTJAKOB;0;5.381;830;Pšata AC;QLTC8;61.212;189;47.002;248;6.601;640;377;852;5.303;5439;PLDP
AC;A1;0047;ŠENTJAKOB - SNEBERJE;0;1.159;;;P;72.000;200;57.010;240;7.000;820;480;900;5.350;5600;PLDP
AC;A1;0047;SNEBERJE - LJ (ZADOBRAVA);1.159;2.394;2401;Sneberje AC;QLTC8;70.543;260;55.504;284;6.645;898;545;967;5.440;5802;PLDP
AC;A1;0047;LJ (ZADOBRAVA) - R LJ ZADOBROVA;2.394;2.866;1005;Zadobrova AC;QLTC8;44.256;156;33.108;144;4.898;574;347;715;4.314;4430;PLDP
AC;A1;0146;RAZCEP LJ ZADOBROVA;0;1.730;1001;Razcep Zadobrova-MB;QLTC8;26.287;104;22.396;140;1.747;324;198;252;1.126;1372;PLDP
AC;A1;0146;RAZCEP LJ ZADOBROVA;1.730;3.161;1003;Razcep Zadobrova-LJvzh;QLTC8;27.300;50;24.933;40;1.280;314;253;160;270;558;PLDP
AC;A1;0048;R LJ ZADOBROVA - IND. CONA MOSTE;0;536;;;P;68.000;200;54.495;180;6.178;888;600;875;4.584;4986;PLDP
AC;A1;0048;LJ (IND. CONA MOSTE - ZALOŠKA);536;1.331;;;P;81.000;200;66.405;175;7.400;830;580;930;4.480;4922;PLDP
AC;A1;0049;LJ (ZALOŠKA - LITIJSKA);0;1.275;;;P;71.000;150;56.395;165;7.360;860;610;910;4.550;4974;PLDP
AC;A1;0050;LJ (LITIJSKA - R MALENCE);0;3.460;180;V Obvoznica;QLTC8;67.900;164;53.296;161;7.357;852;599;930;4.541;4974;PLDP
AC;A1;0050;LJ (R MALENCE - MALENCE);3.460;3.981;1018;R Malence (LJvzh-LJjug);QLTC8;43.993;160;33.156;148;4.741;573;453;658;4.104;4256;PLDP
AC;A1;0119;RAZCEP LJ MALENCE;0;1.098;1020;Razcep Malence-NM;QLTC8;24.044;65;20.539;29;2.216;263;173;175;584;773;PLDP
AC;A1;0019;LJ (MALENCE - DOLENJSKA C.);0;457;2408;Debeli hrib AC;QLTC8;82.092;273;63.786;450;8.313;872;631;1.149;6.618;7033;PLDP
AC;A1;0118;PRIKLJ. LJ J (DOLENJSKA C.);0;935;1049;Priklj. LJ J-Malence;QLTC8;18.058;58;15.626;139;1.586;177;132;83;257;473;PLDP
AC;A1;0118;PRIKLJ. LJ J (DOLENJSKA C.);935;1.402;1056;Priklj. LJ J-Kozarje;QLTC8;6.049;36;4.888;10;736;76;66;48;189;244;PLDP
AC;A1;0018;LJ (DOLENJSKA  -  PERUZIJEVA);0;2.098;2409;Barjanska AC;QLTC8;70.045;251;53.035;321;7.453;769;564;1.112;6.540;6794;PLDP
AC;A1;0018;LJ (PERUZIJEVA - BARJANSKA);2.098;3.937;178;J Obvoznica;QLTC8;77.393;181;60.366;329;7.655;818;553;1.298;6.193;6682;PLDP
AC;A1;0017;LJ (BARJANSKA  -  VIÈ);0;2.753;;;P;74.000;160;58.160;330;6.500;810;540;1.200;6.300;6680;PLDP
AC;A1;0016;LJ (VIÈ  -  KOZARJE);0;803;2403;Dolgi most AC;QLTC8;80.840;262;62.588;513;8.393;809;524;1.161;6.590;7008;PLDP
AC;A1;0051;LJ ( KOZARJE - RAZEP KOZARJE);0;838;1016;R Kozarje (LJjug-KP);QLTC8;42.577;153;30.288;403;4.407;434;252;884;5.756;5824;PLDP
AC;A1;0051;LJ (RAZEP KOZARJE) - BREZOVICA;838;2.408;2404;Majlond AC;QLTC8;80.839;292;61.930;542;8.169;790;508;1.198;7.410;7702;PLDP
AC;A1;0052;BREZOVICA - VRHNIKA;0;12.427;854;Drenov Griè AC;QLTC8;70.139;223;52.794;549;7.036;675;415;1.072;7.375;7508;PLDP
AC;A1;0150;PRIKLJ. VRHNIKA - LJ;0;1.120;858;Priklj. Vrhnika-LJ;Prazno;12.900;75;11.145;120;870;140;180;100;270;487;PLDP
AC;A1;0150;PRIKLJ. VRHNIKA - KP;1.120;1.321;859;Priklj. Vrhnika-KP;Prazno;4.423;38;2.438;8;1.382;112;120;239;86;345;PLDP
AC;A1;0053;VRHNIKA - LOGATEC;0;8.282;1013;Verd AC;QLTC8;61.662;186;44.087;437;7.548;647;355;1.211;7.191;7365;PLDP
AC;A1;0151;PRIKLJ. LOGATEC;0;2.437;805;Priklj. Logatec;Prazno;9.500;85;8.175;35;300;240;145;285;235;564;PLDP
AC;A1;0054;LOGATEC - UNEC;0;10.411;897;Laze AC;QLTC8;57.381;178;41.509;428;6.011;600;319;1.221;7.115;7276;PLDP
AC;A1;0152;PRIKLJ. UNEC - LJ;0;404;824;Priklj. Unec-LJ;QLTC8;5.153;16;4.316;21;500;77;45;47;131;197;PLDP
AC;A1;0152;PRIKLJ. UNEC - KP;404;788;825;Priklj. Unec-KP;QLTC8;3.034;12;2.343;11;349;59;38;41;181;217;PLDP
AC;A1;0055;UNEC - POSTOJNA;0;11.378;822;Ravbarkomanda AC;QLTC8;55.441;204;37.809;408;7.504;650;313;1.071;7.482;7452;PLDP
AC;A1;0153;PRIKLJ. POSTOJNA - LJ;0;900;826;Priklj. Postojna-LJ;QLTC8;11.111;78;8.810;89;1.390;167;94;78;405;535;PLDP
AC;A1;0153;PRIKLJ. POSTOJNA - KP;900;1.178;827;Priklj. Postojna-KP;QLTC8;5.066;19;4.111;30;603;72;32;34;165;215;PLDP
AC;A1;0056;POSTOJNA - RAZDRTO;0;9.581;2105;Studenec AC;QLTC8;50.022;154;33.623;355;6.813;559;256;1.028;7.234;7133;PLDP
AC;A1;0056;RAZDRTO - NANOS;9.581;11.179;2106;Razdrto AC;QLTC8;50.887;151;34.237;374;6.938;572;279;1.039;7.297;7218;PLDP
AC;A1;0197;PRIKLJ. RAZDRTO - LJ;0;250;828;Priklj. Razdrto-LJ;QLTC8;1.052;10;740;4;125;25;40;14;94;111;PLDP
AC;A1;0197;PRIKLJ. RAZDRTO - KP;250;731;829;Priklj. Razdrto-KP;QLTC8;1.909;7;1.346;23;249;38;63;26;157;197;PLDP
AC;A1;0154;RAZCEP NANOS;0;370;894;Razcep Nanos  - LJ;QLTC8;16.176;48;10.087;96;1.814;252;109;482;3.288;3202;PLDP
AC;A1;0154;RAZCEP NANOS;370;1.663;895;Razcep Nanos  - KP;QLTC8;2.907;10;2.326;10;349;48;18;13;133;145;PLDP
AC;A1;0057;NANOS  -  SENOŽEÈE;0;5.461;1023;Goli vrh AC;QLTC8;36.917;85;26.951;303;4.406;343;188;705;3.936;4105;PLDP
AC;A1;0155;PRIKLJ. SENOŽEÈE ;0;1.781;818;Priklj. Senožeèe;Prazno;3.360;52;2.432;16;351;32;178;62;237;323;PLDP
AC;A1;0058;SENOŽEÈE  -   GABRK;0;4.371;812;Èebulovica AC;QLTC8;36.677;127;26.707;315;4.157;345;206;667;4.153;4263;PLDP
AC;A1;0059;GABRK  -  DIVAÈA;0;2.878;2109;Divaèa AC;QLTC8;29.204;100;22.558;157;3.272;271;168;496;2.182;2401;PLDP
AC;A1;0157;PRIKLJ. DIVAÈA;0;540;808;Priklj. Divaèa -LJ;QLTC8;1.938;8;1.530;12;185;35;13;27;128;148;PLDP
AC;A1;0157;PRIKLJ. DIVAÈA;540;2.231;809;Priklj. Divaèa-KP;QLTC8;2.860;9;2.143;13;208;78;107;19;283;312;PLDP
AC;A1;0060;DIVAÈA - KOZINA;0;7.158;2101;Kozina AC;QLTC8;29.712;97;22.818;155;3.248;313;261;491;2.329;2558;PLDP
AC;A1;0158;PRIKLJ. KOZINA - LJ;0;700;821;Priklj. Kozina-LJ;QLTC8;4.206;15;2.865;19;472;109;94;79;553;586;PLDP
AC;A1;0158;PRIKLJ. KOZINA - KP;700;2.219;823;Priklj. Kozina-KP;QLTC8;4.578;17;3.660;30;424;72;45;38;292;323;PLDP
AC;A1;0061;KOZINA - KASTELEC;0;8.598;893;Ravne AC;QLTC8;30.384;105;23.853;163;3.247;277;212;448;2.079;2301;PLDP
AC;A1;0061;KASTELEC - ÈRNI KAL;8.598;11.815;;;P;30.500;110;24.085;160;3.150;270;235;440;2.050;2275;PLDP
AC;A1;0062;ÈRNI KAL  -  RAZCEP SERMIN;0;6.662;803;Dekani AC;QLTC8;30.953;115;24.806;154;2.919;253;259;437;2.010;2240;PLDP
AC;A1;0062;RAZCEP SERMIN  -  H5;6.662;7.112;;;P;26.000;110;19.879;154;2.900;253;259;435;2.010;2238;PLDP
AC;A2;0001;MP KARAVANKE - HRUŠICA;0;5.351;673;MT Karavanke;QLTC8;13.505;45;9.909;169;1.854;96;36;285;1.111;1281;PLDP
AC;A2;0002;HRUŠICA - LIPCE;0;7.166;1037;Jesenice AC;QLTC8;18.668;86;14.362;174;2.366;166;64;324;1.126;1360;PLDP
AC;A2;0003;LIPCE - LESCE;0;7.949;646;Lipce AC;QLTC8;26.246;101;20.992;182;3.027;203;121;351;1.269;1535;PLDP
AC;A2;0103;PRIKLJ. LESCE - JESENICE;0;545;810;Priklj. Lesce-Jesenice;QLTC8;5.531;24;4.775;29;548;49;25;13;68;110;PLDP
AC;A2;0103;PRIKLJ. LESCE - KRANJ;545;1.130;811;Priklj. Lesce-Kranj;QLTC8;13.128;49;11.262;88;1.422;106;73;32;96;225;PLDP
AC;A2;0004;LESCE - RADOVLJICA;0;3.780;1036;Radovljica AC;QLTC8;33.843;126;27.479;241;3.901;260;169;370;1.297;1650;PLDP
AC;A2;0004;RADOVLJICA - BREZJE;3.780;6.714;1035;Brezje AC;QLTC8;40.100;130;33.248;258;4.192;340;207;375;1.350;1746;PLDP
AC;A2;0005;BREZJE - PODTABOR;0;5.002;1034;Ljubno AC;QLTC8;42.800;115;35.479;340;4.596;365;201;384;1.320;1793;PLDP
AC;A2;0006;PODTABOR - NAKLO;0;3.567;1044;Podbrezje AC;QLTC8;47.786;70;39.846;364;5.168;352;268;392;1.326;1842;PLDP
AC;A2;0006;NAKLO - KRANJ Z;3.567;7.273;647;Naklo AC;QLTC8;48.792;194;40.926;289;5.091;349;217;390;1.336;1777;PLDP
AC;A2;0007;KRANJ Z - KRANJ V;0;5.692;1033;Kranj Z - Kranj V;QLTC8;41.742;125;35.122;271;3.949;336;190;349;1.400;1767;PLDP
AC;A2;0008;KRANJ V  -  BRNIK;0;3.898;1032;Voklo AC;QLTC8;50.018;178;41.575;281;5.557;434;218;382;1.393;1838;PLDP
