Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. zaèetka;Stac. konca;Števno mesto;Ime števnega mesta;Tip   štetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tež. tov. nad 7t;Tov. s prik.;Vlaèilci;Dnevni NOO;Tip
R2;411;1428;POLICA - NAKLO(MARINŠEK);0;1.960;51;Naklo;QLTC8;7.333;166;6.165;159;593;83;88;18;61;179;PLDP
R2;411;1428;NAKLO(MARINŠEK) - PRIKLJ. NAKLO;1.960;4.420;;;P;4.200;170;3.295;35;500;65;80;15;40;104;PLDP
R2;411;1428;PRIKLJ. NAKLO - PODTABOR;4.420;7.202;708;Podbrezje;QLTC8;3.206;172;2.693;36;243;26;24;3;9;219;WIM
R2;411;1528;PODTABOR - GOBOVCE;0;1.487;;;P;2.500;160;2.059;30;200;26;10;5;10;177;DIST
R2;411;1429;GOBOVCE - ÈRNIVEC;0;5.142;707;Dobro Polje;QLTC10;3.166;160;2.703;28;211;24;18;7;15;216;DIST
R2;412;1454;POLICA - KR(KIDRIÈEVA);0;2.035;718;KR Zlato polje;QLTC10;18.521;173;16.024;204;1.449;182;164;77;248;412;PLDP
R2;412;0359;KRANJ(KIDRIÈEVA  -  ISKRA);0;1.559;717;KR Sejem;QLTC8;17.126;154;15.057;64;1.203;191;153;65;239;335;PLDP
R2;412;0210;KR(ISKRA - LABORE);0;1.450;716;KR Labore;QLTC10;16.307;142;14.057;280;1.201;161;159;61;246;426;PLDP
R2;413;4704;MEDVODE - ZBILJE;0;1.235;;;P;5.500;90;4.765;35;450;70;40;15;35;81;PLDP
R2;413;1079;ZBILJE - VODICE;0;7.386;228;Valburga;QLTC10;5.257;69;4.466;31;512;65;46;26;42;93;PLDP
R2;413;1080;VODICE - MOSTE;0;4.350;229;Žeje;QLTC8;10.432;60;8.432;25;1.212;187;146;71;299;344;WIM
R2;413;1081;MOSTE - DUPLICA;0;4.120;230;Križ;QLTC10;10.159;108;8.735;31;979;105;63;33;105;154;PLDP
R2;414;1349;KAMNIK - TUHINJ;0;15.600;376;Laze;QLTC10;2.991;65;2.494;17;318;38;29;9;21;49;PLDP
