Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. zaèetka;Stac. konca;Števno mesto;Ime števnega mesta;Tip   štetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tež. tov. nad 7t;Tov. s prik.;Vlaèilci;Dnevni NOO;Tip
AC;A1;0030;MP ŠENTILJ - POÈIVALIŠÈE ŠENTILJ;0;482;674;MT Šentilj AC;QLTC8;18.686;34;12.884;47;2.030;226;126;407;2.932;2.816;PLDP
AC;A1;0030;POÈIVALIŠÈE ŠENTILJ - ŠENTILJ;482;1.137;869;Šentilj AC;QLTC8;18.560;34;12.789;47;2.013;225;126;405;2.921;2.805;PLDP
AC;A1;0199;PRIKLJ.ŠENTILJ S;0;842;868;Priklj. Šentilj S;QLTC8;284;1;239;0;26;2;1;2;13;13;PLDP
AC;A1;0031;ŠENTILJ  -  PESNICA;0;9.761;837;Pesnica AC;QLTC8;25.324;49;18.784;80;2.707;204;94;485;2.921;2.875;PLDP
AC;A1;0065;PESNICA - DRAGUÈOVA;0;2.570;;;P;25.500;60;18.735;85;2.800;210;110;600;2.900;2.961;PLDP
AC;A1;0071;DRAGUÈOVA - MB (ZRKOVSKA);0;4.452;889;Maleènik AC;QLTC8;34.776;73;22.566;206;4.151;617;187;1.159;5.817;5.976;PLDP
AC;A1;0071;MB (ZRKOVSKA)  - MB (PTUJSKA);4.452;7.744;;;P;35.000;60;22.530;190;4.200;620;250;1.100;6.050;6.127;PLDP
AC;A1;0066;MB (PTUJSKA) - ROGOZA;0;2.590;840;Ptujska AC;QLTC8;41.976;87;28.404;157;5.139;626;299;912;6.352;6.214;PLDP
AC;A1;0066;ROGOZA - SLIVNICA;2.590;4.889;;;P;40.000;80;26.490;160;5.100;600;280;890;6.400;6.222;PLDP
AC;A1;0034;SLIVNICA;0;1.757;;;P;44.810;85;31.635;170;5.390;680;330;810;5.710;5.655;PLDP
AC;A1;0035;SLIVNICA - FRAM;0;1.910;802;Hoèe AC;QLTC8;44.815;85;31.642;170;5.389;677;331;809;5.712;5.655;PLDP
AC;A1;0134;PRIKLJ. FRAM  -  MB;0;1.000;848;Priklj. Fram-MB;QLTC8;4.990;40;3.920;16;435;59;37;75;408;428;PLDP
AC;A1;0134;PRIKLJ. FRAM -  CE;1.000;1.193;849;Priklj. Fram-CE;QLTC8;2.138;5;1.447;16;295;43;18;73;241;282;PLDP
AC;A1;0036;FRAM - SL.BISTRICA-SEVER;0;6.785;2005;Polskava AC;QLTC8;41.963;50;29.169;170;5.249;661;312;807;5.545;5.508;PLDP
AC;A1;0036;SL.BISTRICA - SEVER-JUG;6.785;9.733;2006;Sl.Bistrica AC;QLTC8;41.946;92;28.894;161;5.312;693;386;822;5.586;5.582;PLDP
AC;A1;0135;PRIKLJ. SL. BISTRICA J. - MB;0;400;856;Priklj. Sl.Bistrica-MB;QLTC8;9.971;21;8.298;40;968;137;101;85;321;429;PLDP
AC;A1;0135;PRIKLJ. SL. BISTRICA J - CE;400;1.275;857;Priklj. Sl.Bistrica-CE;QLTC8;4.805;12;3.908;16;551;77;44;43;154;207;PLDP
AC;A1;0037;SL.BISTRICA - SL.KONJICE;0;9.117;838;Preloge AC;QLTC8;36.780;83;24.504;137;4.895;633;329;780;5.419;5.360;PLDP
AC;A1;0136;PRIKLJ. SL. KONJICE - MB;0;900;844;CP Sl.Konjice-MB;PRAZNO;5.537;19;4.503;52;520;178;62;62;141;274;PLDP
AC;A1;0136;PRIKLJ. SL. KONJICE - CE;900;1.510;845;CP Sl.Konjice-CE;PRAZNO;4.200;20;3.676;49;150;140;55;60;50;184;PLDP
AC;A1;0038;SL.KONJICE - DRAMLJE;0;10.886;896;Pletovarje AC;QLTC8;35.443;84;23.677;134;4.525;595;322;778;5.328;5.270;PLDP
AC;A1;0137;PRIKLJ. DRAMLJE - MB;0;600;846;Dramlje-MB;QLTC8;2.195;6;1.728;2;318;40;23;14;64;84;PLDP
AC;A1;0137;PRIKLJ. DRAMLJE - CE;600;1.048;847;Dramlje-CE;QLTC8;4.366;9;3.658;3;473;58;44;24;97;132;PLDP
AC;A1;0039;DRAMLJE - LJUBEÈNA;0;6.436;1029;Zima AC;QLTC8;37.423;75;25.273;133;4.785;664;334;792;5.367;5.336;PLDP
AC;A1;0039;LJUBEÈNA - CELJE;6.436;8.438;1030;Celje Center-V AC;QLTC8;38.286;87;25.912;131;4.906;665;381;801;5.403;5.388;PLDP
AC;A1;0040;CELJE - CELJE ZAHOD;0;5.261;648;Lopata AC;QLTC8;42.302;97;29.020;139;5.475;784;418;874;5.495;5.574;PLDP
AC;A1;0040;CELJE ZAHOD - ARJA VAS;5.261;7.509;1031;Arja vas AC;QLTC8;47.450;120;33.578;156;5.694;886;483;892;5.641;5.770;PLDP
AC;A1;0041;ARJA VAS - ŠEMPETER;0;7.511;1006;Gotovlje AC;QLTC8;44.283;125;30.851;153;5.420;739;457;844;5.694;5.719;PLDP
AC;A1;0041;ŠEMPETER - ŠENTRUPERT;7.511;9.651;;;P;41.800;100;28.405;150;5.500;750;345;900;5.650;5.691;PLDP
AC;A1;0042;ŠENTRUPERT - VRANSKO;0;7.898;839;Vransko AC;QLTC8;40.659;92;27.197;149;5.565;763;340;945;5.608;5.695;PLDP
AC;A1;0043;VRANSKO - TROJANE;0;9.921;836;Jasovnik AC;QLTC8;38.592;73;26.132;151;4.854;658;308;832;5.584;5.544;PLDP
AC;A1;0067;TROJANE  -  BLAGOVICA;0;8.706;1007;Podmilj AC;QLTC8;41.464;53;29.071;159;5.008;633;341;912;5.287;5.380;PLDP
AC;A1;0142;PRIKLJ.BLAGOVICA - CE;0;200;842;CP Blagovica-CE;PRAZNO;376;29;125;22;6;11;42;84;57;146;PLDP
AC;A1;0142;PRIKLJ. BLAGOVICA - LJ;200;520;843;CP Blagovica-LJ;PRAZNO;1.900;60;1.342;5;240;20;13;50;170;190;PLDP
AC;A1;0044;BLAGOVICA - LUKOVICA;0;8.821;834;Kompolje AC;QLTC8;42.988;84;30.288;142;5.242;642;312;878;5.400;5.424;PLDP
AC;A1;0044;LUKOVICA - KRTINA;8.821;12.457;;;P;45.086;91;32.122;155;5.438;671;321;868;5.420;5.453;PLDP
AC;A1;0169;PRIKLJ. LUKOVICA ;0;2.306;831;CP Lukovica-LJ;PRAZNO;2.500;15;2.091;6;250;20;18;30;70;97;PLDP
AC;A1;0143;PRIKLJ. KRTINA;0;340;851;Priklj. Krtina-CE;QLTC8;1.772;4;1.301;19;176;81;16;36;139;183;PLDP
AC;A1;0143;PRIKLJ. KRTINA;340;761;835;Priklj. Krtina-LJ;QLTC8;5.314;37;4.587;2;432;48;39;16;153;165;PLDP
AC;A1;0045;KRTINA - DOMŽALE;0;3.505;1045;Domžale AC;QLTC8;48.628;124;35.392;138;5.694;638;344;848;5.450;5.447;PLDP
AC;A1;0046;DOMŽALE - ŠENTJAKOB;0;5.381;830;Pšata AC;QLTC8;56.164;138;42.324;141;6.239;617;349;794;5.562;5.491;PLDP
